#OTU_num	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031	Taxonomy
ASV17	90.0	1642.0	44.0	75.0	3347.0	1088.0	93.0	96.0	853.0	92.0	0.0	365.0	137.0	172.0	95.0	574.0	0.0	61.0	1408.0	1790.0	0.0	522.0	178.0	14251.0	214.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV18	555.0	74.0	153.0	0.0	3616.0	139.0	2985.0	2001.0	91.0	199.0	0.0	178.0	968.0	1115.0	726.0	554.0	3715.0	204.0	3300.0	3072.0	0.0	68.0	0.0	690.0	1631.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
ASV19	590.0	166.0	295.0	265.0	482.0	464.0	36.0	2544.0	274.0	1028.0	703.0	342.0	2980.0	315.0	8024.0	124.0	377.0	259.0	194.0	168.0	44.0	556.0	284.0	1904.0	2566.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
ASV20	0.0	0.0	0.0	0.0	0.0	0.0	147.0	566.0	96.0	109.0	83.0	77.0	652.0	122.0	127.0	0.0	102.0	134.0	12837.0	8836.0	107.0	192.0	137.0	101.0	343.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinivibrio;s__
ASV21	226.0	2114.0	1974.0	2109.0	514.0	38.0	134.0	1433.0	356.0	343.0	225.0	152.0	1630.0	2996.0	1198.0	251.0	265.0	118.0	2381.0	2942.0	84.0	933.0	413.0	271.0	582.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__
ASV22	184.0	91.0	0.0	0.0	340.0	8579.0	68.0	189.0	28.0	100.0	0.0	40.0	887.0	1310.0	140.0	645.0	2095.0	395.0	1277.0	1170.0	0.0	236.0	0.0	0.0	4744.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV23	682.0	1669.0	220.0	244.0	752.0	130.0	306.0	1327.0	185.0	1782.0	115.0	215.0	402.0	1350.0	976.0	58.0	134.0	3096.0	788.0	1062.0	175.0	2090.0	162.0	2212.0	1219.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_inulinivorans
ASV24	75.0	45.0	56.0	1439.0	270.0	84.0	10461.0	2088.0	186.0	29.0	21.0	105.0	27.0	68.0	67.0	0.0	406.0	234.0	353.0	131.0	4548.0	57.0	80.0	143.0	43.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella
ASV25	256.0	1843.0	120.0	0.0	11486.0	2340.0	137.0	0.0	0.0	164.0	0.0	0.0	0.0	169.0	1768.0	0.0	128.0	87.0	0.0	0.0	0.0	2117.0	108.0	0.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV26	0.0	0.0	0.0	177.0	123.0	0.0	0.0	0.0	559.0	75.0	81.0	0.0	17.0	50.0	0.0	0.0	2072.0	0.0	0.0	93.0	16800.0	120.0	143.0	72.0	139.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae
ASV27	1379.0	1552.0	1161.0	1073.0	364.0	70.0	53.0	200.0	1659.0	1501.0	143.0	799.0	1996.0	342.0	435.0	1128.0	587.0	176.0	228.0	412.0	790.0	610.0	167.0	2142.0	1003.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium
ASV28	76.0	79.0	57.0	324.0	213.0	95.0	9950.0	2478.0	240.0	0.0	0.0	113.0	0.0	85.0	65.0	119.0	192.0	209.0	314.0	197.0	4729.0	37.0	103.0	173.0	51.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella
ASV29	449.0	74.0	63.0	118.0	218.0	32.0	7409.0	844.0	42.0	124.0	224.0	63.0	5567.0	560.0	860.0	0.0	164.0	86.0	1177.0	907.0	12.0	22.0	130.0	15.0	619.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__Prevotellaceae_bacterium
ASV30	87.0	36.0	62.0	2936.0	233.0	56.0	6597.0	1961.0	265.0	0.0	0.0	158.0	57.0	93.0	126.0	61.0	802.0	219.0	232.0	172.0	5104.0	0.0	99.0	151.0	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella
ASV31	0.0	0.0	91.0	323.0	10.0	0.0	132.0	28.0	672.0	233.0	47.0	87.0	77.0	133.0	18.0	4212.0	0.0	40.0	13.0	154.0	8764.0	2912.0	274.0	273.0	362.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1
ASV32	0.0	0.0	0.0	0.0	298.0	0.0	86.0	1300.0	4200.0	153.0	91.0	66.0	222.0	276.0	471.0	55.0	3016.0	124.0	2217.0	1799.0	135.0	0.0	1988.0	629.0	1373.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV33	69.0	24.0	15.0	36.0	184.0	3134.0	20.0	89.0	654.0	108.0	4738.0	80.0	106.0	131.0	69.0	0.0	74.0	6381.0	95.0	58.0	673.0	35.0	668.0	27.0	619.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__
ASV34	67.0	55.0	14377.0	65.0	59.0	0.0	33.0	0.0	0.0	17.0	0.0	0.0	121.0	399.0	241.0	2460.0	0.0	0.0	32.0	14.0	0.0	0.0	0.0	0.0	26.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__
ASV35	207.0	6508.0	127.0	78.0	9032.0	82.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	344.0	0.0	0.0	165.0	0.0	0.0	34.0	18.0	0.0	711.0	35.0	276.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister
