# Constructed from biom file
#OTU ID	AEO01016	APA01019	AR001017	DBM01024	DLD01030	EMS01018	KRL01028	KSS01027	LPK01006	MML01014	MRK01020	MSY01012	PBB01029	PDD01031	PRK01002	RRG01015	RRM01008	RSM01009	SMG01004	SMG01005	SMG01026	SSM01021	TSY01022	VHW01025	YRB01013
2f4a2b08eec8d8d5f66dc0d20552881f	927.0	1025.0	499.0	8155.0	165.0	508.0	946.0	555.0	1538.0	1276.0	1650.0	670.0	47044.0	311.0	1382.0	573.0	2302.0	703.0	2099.0	3042.0	684.0	5552.0	37934.0	948.0	1342.0
dd5ce8d0b040693d540cb5aaf1b9fb3b	5980.0	499.0	13032.0	6783.0	596.0	578.0	356.0	22581.0	263.0	6760.0	3800.0	25450.0	804.0	1132.0	557.0	383.0	1050.0	499.0	247.0	328.0	428.0	10314.0	407.0	1309.0	436.0
173ae448654ca5335227d3b8525c15a4	714.0	942.0	661.0	17193.0	664.0	1224.0	346.0	148.0	18948.0	1277.0	361.0	315.0	36.0	1150.0	28366.0	22478.0	1263.0	1241.0	2040.0	388.0	23.0	0.0	187.0	271.0	297.0
2aa282c745a023e4d652f986b63864b5	170.0	1015.0	259.0	613.0	100.0	3355.0	3435.0	363.0	449.0	22891.0	3497.0	531.0	192.0	723.0	7009.0	550.0	5703.0	7708.0	1534.0	382.0	2390.0	717.0	1861.0	2254.0	10492.0
b9390af2d3c1f284363c392e0a1a739e	150.0	734.0	163.0	486.0	107.0	2485.0	3813.0	0.0	198.0	674.0	22292.0	1447.0	0.0	576.0	2668.0	543.0	4683.0	3550.0	182.0	841.0	7384.0	255.0	6963.0	8304.0	1627.0
f7a1c2a7dc74eb24446faaa79f519ee6	808.0	2045.0	489.0	433.0	5935.0	7139.0	653.0	1065.0	1300.0	2176.0	2537.0	640.0	887.0	1242.0	1861.0	1825.0	4055.0	254.0	22363.0	3524.0	663.0	368.0	429.0	577.0	3386.0
2a035981843ab621533a4d12d244f6ac	183.0	2023.0	108.0	678.0	140.0	1364.0	1146.0	96.0	161.0	103.0	1301.0	228.0	3540.0	18675.0	513.0	319.0	821.0	11803.0	314.0	1036.0	3783.0	2350.0	5020.0	3941.0	479.0
86f045fbb5a7e541f8f99398aa6e3a3d	33015.0	487.0	453.0	778.0	392.0	400.0	73.0	7252.0	168.0	4728.0	414.0	11.0	2390.0	390.0	346.0	366.0	167.0	911.0	33.0	58.0	111.0	37.0	160.0	319.0	410.0
b672e098b5dce6c3da177e9e72a17415	372.0	825.0	148.0	371.0	223.0	7001.0	161.0	138.0	181.0	270.0	335.0	256.0	460.0	977.0	388.0	301.0	117.0	40.0	19.0	1626.0	20703.0	0.0	421.0	15240.0	1323.0
83a5381789d9b36ee36d3a312617f938	82.0	157.0	382.0	70.0	7798.0	452.0	93.0	55.0	86.0	105.0	7324.0	167.0	125.0	5687.0	330.0	167.0	11801.0	38.0	149.0	311.0	279.0	0.0	248.0	311.0	4665.0
