,0
ASV319,1074.0
ASV320,1072.0
ASV321,1058.0
ASV322,1044.0
ASV323,1036.0
ASV324,1024.0
ASV325,1023.0
ASV326,1022.0
ASV327,1015.0
ASV328,991.0
ASV329,986.0
ASV330,968.0
ASV331,954.0
ASV332,948.0
ASV333,942.0
ASV334,938.0
ASV335,937.0
ASV336,936.0
ASV337,933.0
ASV339,928.0
ASV338,928.0
ASV340,926.0
ASV341,922.0
ASV342,920.0
ASV343,906.0
ASV344,901.0
ASV345,892.0
ASV346,891.0
ASV347,885.0
ASV348,881.0
ASV349,878.0
ASV350,876.0
ASV351,870.0
ASV352,858.0
ASV353,857.0
ASV354,850.0
ASV355,849.0
ASV356,843.0
ASV357,840.0
ASV358,838.0
ASV359,837.0
ASV360,837.0
ASV361,832.0
ASV362,831.0
ASV363,828.0
ASV364,826.0
ASV365,819.0
ASV367,816.0
ASV368,816.0
ASV366,816.0
ASV369,808.0
ASV370,807.0
ASV371,795.0
ASV372,792.0
ASV373,790.0
ASV374,788.0
ASV375,787.0
ASV376,787.0
ASV377,785.0
ASV378,779.0
ASV379,776.0
ASV380,771.0
ASV381,768.0
ASV382,767.0
ASV383,759.0
ASV384,756.0
ASV385,754.0
ASV386,753.0
ASV387,752.0
ASV388,741.0
ASV389,732.0
ASV390,732.0
ASV391,731.0
ASV392,726.0
ASV393,718.0
ASV394,715.0
ASV395,713.0
ASV396,712.0
ASV397,705.0
ASV398,703.0
ASV399,697.0
ASV400,692.0
ASV401,691.0
ASV402,690.0
ASV403,672.0
ASV404,671.0
ASV405,669.0
ASV406,664.0
ASV407,662.0
ASV408,660.0
ASV409,658.0
ASV410,657.0
ASV411,649.0
ASV412,648.0
ASV413,646.0
ASV414,643.0
ASV415,642.0
ASV416,640.0
ASV417,638.0
ASV418,637.0
ASV419,635.0
ASV420,635.0
ASV421,633.0
ASV422,628.0
ASV423,628.0
ASV424,627.0
ASV425,624.0
ASV426,622.0
ASV428,620.0
ASV427,620.0
ASV429,617.0
ASV430,614.0
ASV431,608.0
ASV432,608.0
ASV433,603.0
ASV434,602.0
ASV435,597.0
ASV436,596.0
ASV437,595.0
ASV438,582.0
ASV439,578.0
ASV440,574.0
ASV441,571.0
ASV442,570.0
ASV443,566.0
ASV444,561.0
ASV445,561.0
ASV446,561.0
ASV447,560.0
ASV448,559.0
ASV449,553.0
ASV450,548.0
ASV451,548.0
ASV452,548.0
ASV453,542.0
ASV454,541.0
ASV455,538.0
ASV456,537.0
ASV458,535.0
ASV457,535.0
ASV459,532.0
ASV460,529.0
ASV461,528.0
ASV462,518.0
ASV463,516.0
ASV464,516.0
ASV465,512.0
ASV466,509.0
ASV467,508.0
ASV468,507.0
ASV469,507.0
ASV470,502.0
ASV471,497.0
ASV472,494.0
ASV473,493.0
ASV474,491.0
ASV475,489.0
ASV476,487.0
ASV477,486.0
ASV478,484.0
ASV479,483.0
ASV480,482.0
ASV481,480.0
ASV482,478.0
ASV483,476.0
ASV484,471.0
ASV485,468.0
ASV486,465.0
ASV487,463.0
ASV488,461.0
ASV489,457.0
ASV490,456.0
ASV491,456.0
ASV492,455.0
ASV493,454.0
ASV494,447.0
ASV495,447.0
ASV496,446.0
ASV497,443.0
ASV498,442.0
ASV499,441.0
ASV500,440.0
ASV501,440.0
ASV502,439.0
ASV503,439.0
ASV504,438.0
ASV506,431.0
ASV507,431.0
ASV505,431.0
ASV508,426.0
ASV509,423.0
ASV510,422.0
ASV511,421.0
ASV512,420.0
ASV513,418.0
ASV514,418.0
ASV515,415.0
ASV516,413.0
ASV517,412.0
ASV518,407.0
ASV519,403.0
ASV520,402.0
ASV521,399.0
ASV522,397.0
ASV523,395.0
ASV524,393.0
ASV525,390.0
ASV526,388.0
ASV527,387.0
ASV528,386.0
ASV529,382.0
ASV530,380.0
ASV531,375.0
ASV532,374.0
ASV533,373.0
ASV534,371.0
ASV535,371.0
ASV536,367.0
ASV538,366.0
ASV537,366.0
ASV539,363.0
ASV541,360.0
ASV540,360.0
ASV542,357.0
ASV543,356.0
ASV544,354.0
ASV545,354.0
ASV546,351.0
ASV547,351.0
ASV549,349.0
ASV548,349.0
ASV550,348.0
ASV551,348.0
ASV552,346.0
ASV553,345.0
ASV554,343.0
ASV555,343.0
ASV556,342.0
ASV557,341.0
ASV558,340.0
ASV560,340.0
ASV559,340.0
ASV561,337.0
ASV562,334.0
ASV563,333.0
ASV564,332.0
ASV565,332.0
ASV566,331.0
ASV567,331.0
ASV568,330.0
ASV569,330.0
ASV570,329.0
ASV571,329.0
ASV572,328.0
ASV573,326.0
ASV574,322.0
ASV575,320.0
ASV576,319.0
ASV579,318.0
ASV578,318.0
ASV577,318.0
ASV580,317.0
ASV581,317.0
ASV582,315.0
ASV583,310.0
ASV584,310.0
ASV585,305.0
ASV586,305.0
ASV587,304.0
ASV589,303.0
ASV588,303.0
ASV590,302.0
ASV591,302.0
ASV592,301.0
ASV593,298.0
ASV594,298.0
ASV595,296.0
ASV596,296.0
ASV598,295.0
ASV597,295.0
ASV599,294.0
ASV600,294.0
ASV601,293.0
ASV602,293.0
ASV603,292.0
ASV604,289.0
ASV605,289.0
ASV606,289.0
ASV608,287.0
